name,version,platform,vdpx,framework_version,python_version,min_vam_version
ge.micom,1.1.9,win_amd64,ge.micom-1.1.9-win_amd64._vdpx,2.7.5,3.9,1.38
ge.multilin,1.1.14,linux_x86_64,ge.multilin-1.1.14-linux_x86_64._vdpx,2.7.8,3.9,1.38
ge.multilin,1.1.14,win_amd64,ge.multilin-1.1.14-win_amd64._vdpx,2.7.8,3.9,1.38
ge.reason_h49,1.1.9,linux_x86_64,ge.reason_h49-1.1.9-linux_x86_64._vdpx,2.7.5,3.9,1.38
ge.reason_h49,1.1.9,win_amd64,ge.reason_h49-1.1.9-win_amd64._vdpx,2.7.5,3.9,1.38
ge.reason_s20,1.1.11,linux_x86_64,ge.reason_s20-1.1.11-linux_x86_64._vdpx,2.7.5,3.9,1.38
ge.reason_s20,1.1.11,win_amd64,ge.reason_s20-1.1.11-win_amd64._vdpx,2.7.5,3.9,1.38
guidant.accuload,1.1.1,win_amd64,guidant.accuload-1.1.1-win_amd64._vdpx,2.7.5,3.9,1.38
guidant.accuload,1.1.1,linux_x86_64,guidant.accuload-1.1.1-linux_x86_64._vdpx,2.7.5,3.9,1.38
hirschmann.eagle,1.1.10,win_amd64,hirschmann.eagle-1.1.10-win_amd64._vdpx,2.7.5,3.9,1.38
hirschmann.eagle,1.1.10,linux_x86_64,hirschmann.eagle-1.1.10-linux_x86_64._vdpx,2.7.5,3.9,1.38
hirschmann.mach100,1.1.11,win_amd64,hirschmann.mach100-1.1.11-win_amd64._vdpx,2.7.5,3.9,1.38
hirschmann.mach100,1.1.11,linux_x86_64,hirschmann.mach100-1.1.11-linux_x86_64._vdpx,2.7.5,3.9,1.38
hirschmann.railswitch.snmp,1.1.12,linux_x86_64,hirschmann.railswitch.snmp-1.1.12-linux_x86_64._vdpx,2.7.5,3.9,1.38
hirschmann.railswitch.snmp,1.1.12,win_amd64,hirschmann.railswitch.snmp-1.1.12-win_amd64._vdpx,2.7.5,3.9,1.38
hirschmann.railswitch.ssh_telnet,1.1.16,linux_x86_64,hirschmann.railswitch.ssh_telnet-1.1.16-linux_x86_64._vdpx,2.7.8,3.9,1.38
hirschmann.railswitch.ssh_telnet,1.1.16,win_amd64,hirschmann.railswitch.ssh_telnet-1.1.16-win_amd64._vdpx,2.7.8,3.9,1.38
honeywell.experion_pks,1.1.9,linux_x86_64,honeywell.experion_pks-1.1.9-linux_x86_64._vdpx,2.7.5,3.9,1.38
honeywell.experion_pks,1.1.9,win_amd64,honeywell.experion_pks-1.1.9-win_amd64._vdpx,2.7.5,3.9,1.38
honeywell.iq4,1.1.3,linux_x86_64,honeywell.iq4-1.1.3-linux_x86_64._vdpx,2.7.5,3.9,1.38
honeywell.iq4,1.1.3,win_amd64,honeywell.iq4-1.1.3-win_amd64._vdpx,2.7.5,3.9,1.38
honeywell.mercury,1.1.11,linux_x86_64,honeywell.mercury-1.1.11-linux_x86_64._vdpx,2.7.5,3.9,1.38
honeywell.mercury,1.1.11,win_amd64,honeywell.mercury-1.1.11-win_amd64._vdpx,2.7.5,3.9,1.38
hp.ilo,1.1.10,linux_x86_64,hp.ilo-1.1.10-linux_x86_64._vdpx,2.7.5,3.9,1.38
hp.ilo,1.1.10,win_amd64,hp.ilo-1.1.10-win_amd64._vdpx,2.7.5,3.9,1.38
hp.procurve,1.1.9,win_amd64,hp.procurve-1.1.9-win_amd64._vdpx,2.7.5,3.9,1.38
hp.procurve,1.1.9,linux_x86_64,hp.procurve-1.1.9-linux_x86_64._vdpx,2.7.5,3.9,1.38
ict_power.ict_180s,1.1.10,win_amd64,ict_power.ict_180s-1.1.10-win_amd64._vdpx,2.7.5,3.9,1.38
ict_power.ict_180s,1.1.10,linux_x86_64,ict_power.ict_180s-1.1.10-linux_x86_64._vdpx,2.7.5,3.9,1.38
igrid.igw_irtu,1.1.11,linux_x86_64,igrid.igw_irtu-1.1.11-linux_x86_64._vdpx,2.7.5,3.9,1.38
igrid.igw_irtu,1.1.11,win_amd64,igrid.igw_irtu-1.1.11-win_amd64._vdpx,2.7.5,3.9,1.38
juniper_networks.junos,1.1.11,win_amd64,juniper_networks.junos-1.1.11-win_amd64._vdpx,2.7.5,3.9,1.38
juniper_networks.junos,1.1.11,linux_x86_64,juniper_networks.junos-1.1.11-linux_x86_64._vdpx,2.7.5,3.9,1.38
kk_wind_solutions.m_system_mk1,1.1.6,win_amd64,kk_wind_solutions.m_system_mk1-1.1.6-win_amd64._vdpx,2.7.5,3.9,1.38
